Channel,Histo Bin #,# of Counts at peak
0,[59],[4673.]
1,[62],[4772.]
2,[46],[4593.]
3,[40],[568.]
4,[40],[49755.]
5,[48],[2618.]
6,[],[]
7,[43],[3774.]
8,[37],[51962.]
9,[45],[54461.]
10,[47],[47633.]
11,[36],[43481.]
12,[31],[53021.]
13,[23],[52123.]
14,[56],[47373.]
15,[46],[53310.]
16,[43],[55740.]
17,[30],[53004.]
18,[59],[43087.]
19,[32],[47199.]
20,[48],[45004.]
21,[55],[52416.]
22,[36],[43269.]
23,[44],[49693.]
24,[30],[45183.]
25,[43],[47310.]
26,[52],[43641.]
27,[44],[54035.]
28,[36],[48477.]
29,[46],[53702.]
30,[36],[46817.]
31,[41],[46867.]
32,[50],[45192.]
33,[37],[50999.]
34,[46],[51291.]
35,[42],[46559.]
36,[50],[46119.]
37,[35],[44655.]
38,[48],[48330.]
39,[46],[52019.]
40,[43],[50868.]
41,[33],[54617.]
42,[44],[52186.]
43,[45],[53380.]
44,[42],[52738.]
45,[38],[47932.]
46,[37],[46936.]
47,[42],[53601.]
48,[35],[52792.]
49,[49],[49675.]
50,[35],[46584.]
51,[39],[50187.]
52,[45],[50361.]
53,[33],[45352.]
54,[40],[43112.]
55,[33],[48632.]
56,[43],[42838.]
57,[47],[55945.]
58,[42],[48407.]
59,[43],[55500.]
60,[33],[46600.]
61,[35],[49653.]
62,[43],[51001.]
63,[28],[53679.]
